Wed Mar 23 2022 11:31:38 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:32:51 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:33:01 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:06 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:25 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:29 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:34 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:38 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:45 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:48 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:37:54 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:03 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:09 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:20 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:25 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:30 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:42 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:38:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
