Wed Mar 23 2022 13:48:53 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:49:07 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:49:10 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:49:15 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:49:18 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:49:20 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:50:53 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:50:55 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:51:54 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:52:04 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:52:07 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:52:08 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:52:33 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:52:37 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:53:09 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:53:13 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:53:46 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:53:48 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:53:57 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:54:05 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
